Country Code,Series Code,Year,Value
IND,BX.KLT.DINV.CD.WD,2011,36498654597.8589
IND,BX.KLT.DINV.CD.WD,2012,23995685014.2142
IND,BX.KLT.DINV.CD.WD,2013,28153031270.3203
IND,BX.KLT.DINV.CD.WD,2014,34576643694.1383
IND,BX.KLT.DINV.CD.WD,2015,44009492129.5319
IND,BX.KLT.DINV.CD.WD,2016,44458571545.798
IND,BX.KLT.DINV.CD.WD,2017,39966091358.7384
IND,BX.KLT.DINV.CD.WD,2018,42117450737.2644
IND,BX.KLT.DINV.CD.WD,2019,50610647353.5912
IND,BX.KLT.DINV.CD.WD,2020,64362364994.3754
IND,BX.KLT.DINV.CD.WD,2021,44727277562.881
IND,BX.KLT.DINV.CD.WD,2022,49940258404.266
IND,FP.CPI.TOTL.ZG,1960,1.77987784677379
IND,FP.CPI.TOTL.ZG,1961,1.69521293914439
IND,FP.CPI.TOTL.ZG,1962,3.63221497106987
IND,FP.CPI.TOTL.ZG,1963,2.94616135685227
IND,FP.CPI.TOTL.ZG,1964,13.3552611508153
IND,FP.CPI.TOTL.ZG,1965,9.47475859170697
IND,FP.CPI.TOTL.ZG,1966,10.8018483489341
IND,FP.CPI.TOTL.ZG,1967,13.0622024777969
IND,FP.CPI.TOTL.ZG,1968,3.23741242627508
IND,FP.CPI.TOTL.ZG,1969,-0.584136610466297
IND,FP.CPI.TOTL.ZG,1970,5.09226161997544
IND,FP.CPI.TOTL.ZG,1971,3.07993868406547
IND,FP.CPI.TOTL.ZG,1972,6.44209746158235
IND,FP.CPI.TOTL.ZG,1973,16.9408159791736
IND,FP.CPI.TOTL.ZG,1974,28.598734077509
IND,FP.CPI.TOTL.ZG,1975,5.74843029767432
IND,FP.CPI.TOTL.ZG,1976,-7.63394763392876
IND,FP.CPI.TOTL.ZG,1977,8.30747009171162
IND,FP.CPI.TOTL.ZG,1978,2.52304875695182
IND,FP.CPI.TOTL.ZG,1979,6.27568336762338
IND,FP.CPI.TOTL.ZG,1980,11.3460734795094
IND,FP.CPI.TOTL.ZG,1981,13.112546897642
IND,FP.CPI.TOTL.ZG,1982,7.8907427937749
IND,FP.CPI.TOTL.ZG,1983,11.8680812986734
IND,FP.CPI.TOTL.ZG,1984,8.3189071186007
IND,FP.CPI.TOTL.ZG,1985,5.55642423236555
IND,FP.CPI.TOTL.ZG,1986,8.72972072702588
IND,FP.CPI.TOTL.ZG,1987,8.80112581251833
IND,FP.CPI.TOTL.ZG,1988,9.38347186185332
IND,FP.CPI.TOTL.ZG,1989,7.07428002942298
IND,FP.CPI.TOTL.ZG,1990,8.97123250273256
IND,FP.CPI.TOTL.ZG,1991,13.8702461773683
IND,FP.CPI.TOTL.ZG,1992,11.7878170418135
IND,FP.CPI.TOTL.ZG,1993,6.32689048779867
IND,FP.CPI.TOTL.ZG,1994,10.2479355556119
IND,FP.CPI.TOTL.ZG,1995,10.2248861637545
IND,FP.CPI.TOTL.ZG,1996,8.97715233826453
IND,FP.CPI.TOTL.ZG,1997,7.16425211462723
IND,FP.CPI.TOTL.ZG,1998,13.2308389767977
IND,FP.CPI.TOTL.ZG,1999,4.66982038037589
IND,FP.CPI.TOTL.ZG,2000,4.0094359104519
IND,FP.CPI.TOTL.ZG,2001,3.77929312235641
IND,FP.CPI.TOTL.ZG,2002,4.29715203929562
IND,FP.CPI.TOTL.ZG,2003,3.80585899528852
IND,FP.CPI.TOTL.ZG,2004,3.7672517347751
IND,FP.CPI.TOTL.ZG,2005,4.24634362031927
IND,FP.CPI.TOTL.ZG,2006,5.79652337561635
IND,FP.CPI.TOTL.ZG,2007,6.37288135593229
IND,FP.CPI.TOTL.ZG,2008,8.34926704907581
IND,FP.CPI.TOTL.ZG,2009,10.8823529411765
IND,FP.CPI.TOTL.ZG,2010,11.9893899204243
IND,FP.CPI.TOTL.ZG,2011,8.9117933648337
IND,FP.CPI.TOTL.ZG,2012,9.47899691419793
IND,FP.CPI.TOTL.ZG,2013,10.0178784746103
IND,FP.CPI.TOTL.ZG,2014,6.665656718679
IND,FP.CPI.TOTL.ZG,2015,4.90697344127254
IND,FP.CPI.TOTL.ZG,2016,4.94821634062142
IND,FP.CPI.TOTL.ZG,2017,3.32817337461301
IND,FP.CPI.TOTL.ZG,2018,3.93882646691634
IND,FP.CPI.TOTL.ZG,2019,3.72950573539126
IND,FP.CPI.TOTL.ZG,2020,6.62343677628532
IND,FP.CPI.TOTL.ZG,2021,5.13140747176369
IND,FP.CPI.TOTL.ZG,2022,6.6990341407985
IND,NE.EXP.GNFS.CD,1960,1652701651.39602
IND,NE.EXP.GNFS.CD,1961,1688401687.06785
IND,NE.EXP.GNFS.CD,1962,1757701756.31317
IND,NE.EXP.GNFS.CD,1963,2072702071.06464
IND,NE.EXP.GNFS.CD,1964,2104202102.53978
IND,NE.EXP.GNFS.CD,1965,1969760604.7879
IND,NE.EXP.GNFS.CD,1966,1900000000.0
IND,NE.EXP.GNFS.CD,1967,2022666664.91369
IND,NE.EXP.GNFS.CD,1968,2143999998.14187
IND,NE.EXP.GNFS.CD,1969,2170666664.78542
IND,NE.EXP.GNFS.CD,1970,2361333331.28684
IND,NE.EXP.GNFS.CD,1971,2469914346.66168
IND,NE.EXP.GNFS.CD,1972,2878172457.50653
IND,NE.EXP.GNFS.CD,1973,3599135190.13099
IND,NE.EXP.GNFS.CD,1974,4808415667.78675
IND,NE.EXP.GNFS.CD,1975,5560820024.49904
IND,NE.EXP.GNFS.CD,1976,6868196413.18819
